id_videojuego,desc_videojuego,Fecha
1,Wii Sports,2006
2,Super Mario Bros.,1985
3,Mario Kart Wii,2008
4,Wii Sports Resort,2009
5,Pokemon Red/Pokemon Blue,1996
6,Tetris,1989
7,New Super Mario Bros.,2006
8,Wii Play,2006
9,New Super Mario Bros. Wii,2009
10,Duck Hunt,1984
11,Nintendogs,2005
12,Mario Kart DS,2005
13,Pokemon Gold/Pokemon Silver,1999
14,Wii Fit,2007
15,Wii Fit Plus,2009
16,Kinect Adventures!,2010
17,Grand Theft Auto V,2013
18,Grand Theft Auto: San Andreas,2004
19,Super Mario World,1990
20,Brain Age: Train Your Brain in Minutes a Day,2005
21,Pokemon Diamond/Pokemon Pearl,2006
22,Super Mario Land,1989
23,Super Mario Bros. 3,1988
24,Grand Theft Auto: Vice City,2002
25,Pokemon Ruby/Pokemon Sapphire,2002
26,Pokemon Black/Pokemon White,2010
27,Brain Age 2: More Training in Minutes a Day,2005
28,Gran Turismo 3: A-Spec,2001
29,Call of Duty: Modern Warfare 3,2011
30,Pok̩mon Yellow: Special Pikachu Edition,1998
31,Call of Duty: Black Ops,2010
32,Pokemon X/Pokemon Y,2013
33,Call of Duty: Black Ops 3,2015
34,Call of Duty: Black Ops II,2012
35,Call of Duty: Modern Warfare 2,2009
36,Grand Theft Auto III,2001
37,Super Smash Bros. Brawl,2008
38,Animal Crossing: Wild World,2005
39,Mario Kart 7,2011
40,Halo 3,2007
41,Grand Theft Auto V,2014
42,Pokemon HeartGold/Pokemon SoulSilver,2009
43,Super Mario 64,1996
44,Gran Turismo 4,2004
45,Super Mario Galaxy,2007
46,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014
47,Super Mario Land 2: 6 Golden Coins,1992
48,Grand Theft Auto IV,2008
49,Gran Turismo,1997
50,Super Mario 3D Land,2011
51,Gran Turismo 5,2010
52,Super Mario All-Stars,1993
53,Pokemon FireRed/Pokemon LeafGreen,2004
54,Super Mario 64,2004
55,Just Dance 3,2011
56,Call of Duty: Ghosts,2013
57,Halo: Reach,2010
58,Mario Kart 64,1996
59,New Super Mario Bros. 2,2012
60,Halo 4,2012
61,Final Fantasy VII,1997
62,Just Dance 2,2010
63,Gran Turismo 2,1999
64,Call of Duty 4: Modern Warfare,2007
65,Donkey Kong Country,1994
66,Minecraft,2013
67,Animal Crossing: New Leaf,2012
68,Mario Party DS,2007
69,The Elder Scrolls V: Skyrim,2011
70,Super Mario Kart,1992
71,FIFA 16,2015
72,Wii Party,2010
73,Halo 2,2004
74,Mario Party 8,2007
75,Pokemon Black 2/Pokemon White 2,2012
76,FIFA Soccer 13,2012
77,The Sims 3,2009
78,GoldenEye 007,1997
79,Mario & Sonic at the Olympic Games,2007
80,Final Fantasy X,2001
81,Final Fantasy VIII,1999
82,Pok̩mon Platinum Version,2008
83,Pac-Man,1982
84,Grand Theft Auto: Liberty City Stories,2005
85,Super Mario Galaxy 2,2010
86,Star Wars Battlefront (2015),2015
87,Call of Duty: Advanced Warfare,2014
88,The Legend of Zelda: Ocarina of Time,1998
89,Crash Bandicoot 2: Cortex Strikes Back,1997
90,Super Mario Bros. 2,1988
91,Super Smash Bros. for Wii U and 3DS,2014
92,Call of Duty: World at War,2008
93,Battlefield 3,2011
94,The Legend of Zelda: Twilight Princess,2006
95,Just Dance,2009
96,Need for Speed Underground,2003
97,Tekken 3,1998
98,Crash Bandicoot 3: Warped,1998
99,Super Smash Bros. Melee,2001
100,Mario Kart 8,2014
101,Fallout 4,2015
102,Mario Kart: Double Dash!!,2003
103,Just Dance 4,2012
104,FIFA 14,2013
105,Need for Speed Underground 2,2004
106,Medal of Honor: Frontline,2002
107,Uncharted 3: Drake's Deception,2011
108,Crash Bandicoot,1996
109,Zumba Fitness,2010
110,Gears of War 2,2008
111,Uncharted 2: Among Thieves,2009
112,FIFA 12,2011
113,Big Brain Academy,2005
114,Red Dead Redemption,2010
115,FIFA 15,2014
116,Donkey Kong Country Returns,2010
117,The Legend of Zelda,1986
118,Assassin's Creed III,2012
119,Halo: Combat Evolved,2001
120,Pok̩mon Emerald Version,2004
121,Kingdom Hearts,2002
122,Pok̩mon Crystal Version,2000
123,Halo 3: ODST,2009
124,Super Mario Sunshine,2002
125,Street Fighter II: The World Warrior,1992
126,World of Warcraft,2004
127,Driver,1999
128,Kinect Sports,2010
129,Gears of War 3,2011
130,Gears of War,2006
131,Metal Gear Solid 2: Sons of Liberty,2001
132,Sonic the Hedgehog 2,1992
133,Metal Gear Solid 4: Guns of the Patriots,2008
134,Metal Gear Solid,1998
135,The Last of Us,2013
136,Final Fantasy XII,2006
137,LittleBigPlanet,2008
138,Dragon Quest IX: Sentinels of the Starry Skies,2009
139,LEGO Star Wars: The Complete Saga,2007
140,Resident Evil 2,1998
141,Tekken 2,1996
142,Cooking Mama,2006
143,Destiny,2014
144,Tetris,1988
145,Assassin's Creed II,2009
146,Super Smash Bros.,1999
147,Assassin's Creed,2007
148,Batman: Arkham City,2011
149,Forza Motorsport 3,2009
150,Monster Hunter Freedom Unite,2008
151,Super Mario Advance,2001
152,Mario Kart: Super Circuit,2001
153,Super Mario World,2001
154,Pokemon Stadium,1999
155,Crash Bandicoot: The Wrath of Cortex,2001
156,Minecraft,2014
157,Final Fantasy XIII,2009
158,Dr. Mario,1989
159,Pokemon Pinball,1999
160,Final Fantasy IX,2000
161,Final Fantasy X-2,2003
162,Donkey Kong 64,1999
163,Professor Layton and the Curious Village,2007
164,Tomb Raider II,1997
165,Madden NFL 2004,N/A
166,Dragon Quest VIII: Journey of the Cursed King,2004
167,Diablo III,2012
168,Super Mario Bros. 3,2003
169,New Super Mario Bros. U,2012
170,Super Mario Land 3: Wario Land,1994
171,The Legend of Zelda: Phantom Hourglass,2007
